127.0.0.1, 2019-04-19 23:02:50, GET, /gridlecture/static/css/calendar.css, HTTP/1.1, 200, 0.072831
127.0.0.1, 2019-04-19 23:02:50, GET, /gridlecture/static/js/jquery.js, HTTP/1.1, 200, 0.001751
127.0.0.1, 2019-04-19 23:02:50, GET, /gridlecture/static/js/calendar.js, HTTP/1.1, 200, 0.000779
127.0.0.1, 2019-04-19 23:02:50, GET, /gridlecture/static/css/myapp.css, HTTP/1.1, 200, 0.153669
127.0.0.1, 2019-04-19 23:02:50, GET, /gridlecture/static/js/web2py.js, HTTP/1.1, 200, 0.002444
127.0.0.1, 2019-04-19 23:02:50, GET, /gridlecture/static/js/marked.min.js, HTTP/1.1, 200, 0.000737
127.0.0.1, 2019-04-19 23:02:50, GET, /gridlecture/static/js/vue.min.js, HTTP/1.1, 200, 0.001046
127.0.0.1, 2019-04-19 23:02:50, GET, /gridlecture/static/css/custom.css, HTTP/1.1, 200, 0.183337
127.0.0.1, 2019-04-19 23:02:50, GET, /gridlecture/static/css/web2py.css, HTTP/1.1, 200, 0.188783
127.0.0.1, 2019-04-19 23:02:50, GET, /gridlecture/static/css/stupid.css, HTTP/1.1, 200, 0.199387
127.0.0.1, 2019-04-19 23:02:50, GET, /gridlecture/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.201504
127.0.0.1, 2019-04-19 23:02:50, GET, /gridlecture/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.086477
127.0.0.1, 2019-04-19 23:02:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000385
127.0.0.1, 2019-04-19 23:02:58, GET, /start/default/index, HTTP/1.1, 200, 0.096054
127.0.0.1, 2019-04-19 23:02:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000464
127.0.0.1, 2019-04-19 23:03:06, GET, /gridlecture/default/add1, HTTP/1.1, 303, 0.126296
127.0.0.1, 2019-04-19 23:03:06, GET, /gridlecture/default/user/login, HTTP/1.1, 200, 0.152720
127.0.0.1, 2019-04-19 23:03:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000427
127.0.0.1, 2019-04-19 23:03:11, POST, /gridlecture/default/user/login, HTTP/1.1, 200, 0.124091
127.0.0.1, 2019-04-19 23:03:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000407
127.0.0.1, 2019-04-19 23:03:18, GET, /gridlecture/default/user/register, HTTP/1.1, 200, 0.123883
127.0.0.1, 2019-04-19 23:03:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000381
127.0.0.1, 2019-04-19 23:03:25, POST, /gridlecture/default/user/register, HTTP/1.1, 200, 0.098671
127.0.0.1, 2019-04-19 23:03:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000373
127.0.0.1, 2019-04-19 23:03:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000496
127.0.0.1, 2019-04-19 23:03:29, GET, /gridlecture/default/user/login, HTTP/1.1, 200, 0.097622
127.0.0.1, 2019-04-19 23:03:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000552
127.0.0.1, 2019-04-19 23:03:38, POST, /gridlecture/default/user/login, HTTP/1.1, 303, 0.082041
127.0.0.1, 2019-04-19 23:03:38, GET, /gridlecture/default/user/login, HTTP/1.1, 200, 0.177103
127.0.0.1, 2019-04-19 23:03:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000494
127.0.0.1, 2019-04-19 23:03:41, GET, /gridlecture/default/user/register, HTTP/1.1, 200, 0.071989
127.0.0.1, 2019-04-19 23:03:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000396
127.0.0.1, 2019-04-19 23:03:56, POST, /gridlecture/default/user/register, HTTP/1.1, 200, 0.109148
127.0.0.1, 2019-04-19 23:03:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000466
127.0.0.1, 2019-04-19 23:04:14, POST, /gridlecture/default/user/register, HTTP/1.1, 303, 0.113832
127.0.0.1, 2019-04-19 23:04:14, GET, /gridlecture/default/add1, HTTP/1.1, 200, 0.101705
127.0.0.1, 2019-04-19 23:04:14, GET, /gridlecture/static/css/myapp.css, HTTP/1.1, 304, 0.000676
127.0.0.1, 2019-04-19 23:04:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000942
127.0.0.1, 2019-04-19 23:04:21, POST, /gridlecture/default/add1, HTTP/1.1, 303, 0.074416
127.0.0.1, 2019-04-19 23:04:21, GET, /gridlecture/default/index, HTTP/1.1, 200, 0.082148
127.0.0.1, 2019-04-19 23:04:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000647
127.0.0.1, 2019-04-19 23:04:29, GET, /gridlecture/default/view2/1, HTTP/1.1, 200, 0.087363
127.0.0.1, 2019-04-19 23:04:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000457
127.0.0.1, 2019-04-19 23:04:33, GET, /gridlecture/default/index, HTTP/1.1, 200, 0.072447
127.0.0.1, 2019-04-19 23:04:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000964
127.0.0.1, 2019-04-19 23:04:34, GET, /gridlecture/default/view1/1, HTTP/1.1, 200, 0.077832
127.0.0.1, 2019-04-19 23:04:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000445
127.0.0.1, 2019-04-19 23:04:37, GET, /gridlecture/default/index, HTTP/1.1, 200, 0.091737
127.0.0.1, 2019-04-19 23:04:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000399
127.0.0.1, 2019-04-19 23:04:39, GET, /gridlecture/default/add2, HTTP/1.1, 200, 0.093410
127.0.0.1, 2019-04-19 23:04:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000485
127.0.0.1, 2019-04-19 23:04:42, POST, /gridlecture/default/add2, HTTP/1.1, 303, 0.074480
127.0.0.1, 2019-04-19 23:04:42, GET, /gridlecture/default/index, HTTP/1.1, 200, 0.106212
127.0.0.1, 2019-04-19 23:04:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000401
127.0.0.1, 2019-04-20 19:56:33, GET, /, HTTP/1.1, 303, 15.013451
127.0.0.1, 2019-04-20 19:56:34, GET, /welcome/default/index, HTTP/1.1, 200, 0.992295
127.0.0.1, 2019-04-20 19:56:36, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000438
127.0.0.1, 2019-04-20 19:56:45, GET, /hw2/default/index, HTTP/1.1, 200, 0.414123
127.0.0.1, 2019-04-20 19:56:45, GET, /hw2/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.007249
127.0.0.1, 2019-04-20 19:56:45, GET, /hw2/static/js/calendar.js, HTTP/1.1, 200, 0.002549
127.0.0.1, 2019-04-20 19:56:45, GET, /hw2/static/js/jquery.js, HTTP/1.1, 200, 0.007496
127.0.0.1, 2019-04-20 19:56:45, GET, /hw2/static/js/web2py.js, HTTP/1.1, 200, 0.000884
127.0.0.1, 2019-04-20 19:56:45, GET, /hw2/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.035177
127.0.0.1, 2019-04-20 19:56:45, GET, /hw2/static/css/calendar.css, HTTP/1.1, 200, 0.075319
127.0.0.1, 2019-04-20 19:56:45, GET, /hw2/static/css/movies.css, HTTP/1.1, 200, 0.086454
127.0.0.1, 2019-04-20 19:56:45, GET, /hw2/default/download/movies.movie_cover.88bec7b0141d533f.736872656b2e6a7067.jpg, HTTP/1.1, 200, 0.101013
127.0.0.1, 2019-04-20 19:56:45, GET, /hw2/default/download/movies.movie_cover.87c4a92c32f39519.70696e6b5f70616e746865722e6a7067.jpg, HTTP/1.1, 200, 0.097882
127.0.0.1, 2019-04-20 19:56:45, GET, /hw2/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.144035
127.0.0.1, 2019-04-20 19:56:46, GET, /hw2/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001182
127.0.0.1, 2019-04-20 19:56:46, GET, /hw2/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000863
127.0.0.1, 2019-04-20 19:56:46, GET, /hw2/default/download/movies.movie_cover.a7b97a1bf9e3d996.6d696e696f6e732e6a7067.jpg, HTTP/1.1, 200, 0.052341
127.0.0.1, 2019-04-20 19:56:46, GET, /hw2/default/download/movies.movie_cover.b1fa7727373adba5.73706f6e6765626f622e6a7067.jpg, HTTP/1.1, 200, 0.043521
127.0.0.1, 2019-04-20 19:56:46, GET, /hw2/default/download/movies.movie_cover.a53bdb8b8acc24df.6e656d6f2e6a7067.jpg, HTTP/1.1, 200, 0.055036
127.0.0.1, 2019-04-20 19:56:46, GET, /hw2/default/download/movies.movie_cover.b30e1fc3125002f3.646f776e6c6f6164202832292e6a7067.jpg, HTTP/1.1, 200, 0.099256
127.0.0.1, 2019-04-20 19:56:46, GET, /hw2/default/download/movies.movie_cover.8916722dd6dd8ec9.746f795f73746f72792e6a7067.jpg, HTTP/1.1, 200, 0.091276
127.0.0.1, 2019-04-20 19:56:47, GET, /hw2/static/images/favicon.ico, HTTP/1.1, 200, 0.022842
